Exhibition,Description,Category,Medium,Admission,Date Range,Start Date,End Date,Place,Link,Address,Latitude,Longitude,Geocoordinates
Laura Aguilar: Show and Tell ,"Laura Aguilar's photographs provocatively challenge prevailing notions of beauty, sexuality, and identity. This is the first major survey of Aguilar's work, which often takes the artist's own body as its subject.

The Vincent Price Art Museum will present the first comprehensive retrospective of photographer Laura Aguilar, shedding new light on a Los Angeles-based artist who has garnered significant critical attention for her contributions to performative, feminist, and queer art. With approximately 95 photographs, as well as examples of Aguilar’s work in video, the exhibition will span more than three decades of the artist’s career. Show and Tell will highlight themes of class, literacy, and the body in Aguilar’s work and will demonstrate how these themes challenge prevailing notions of beauty, gender or sexuality, and cultural or ethnic identities. The presentation of Aguilar’s retrospective at the Vincent Price Art Museum is particularly fitting, since she is an alumna of the East Los Angeles College, where she studied photography.",Art and Activism,,Free,"September 16, 2017 - February 10, 2018 ",9/16/2017,2/10/2018,Vincent Price Art Museum,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Laura-Aguilar-Show-and-Tell"">Link to PST Site</a>","1301 Avenida Cesar Chavez
Monterey Park, CA ",34.0411583,-118.1509885,"34.0411583, -118.1509885"
"Laura Aguilar: Show and Tell


","Laura Aguilar's photographs provocatively challenge prevailing notions of beauty, sexuality, and identity. This is the first major survey of Aguilar's work, which often takes the artist's own body as its subject.

The Vincent Price Art Museum will present the first comprehensive retrospective of photographer Laura Aguilar, shedding new light on a Los Angeles-based artist who has garnered significant critical attention for her contributions to performative, feminist, and queer art. With approximately 95 photographs, as well as examples of Aguilar’s work in video, the exhibition will span more than three decades of the artist’s career. Show and Tell will highlight themes of class, literacy, and the body in Aguilar’s work and will demonstrate how these themes challenge prevailing notions of beauty, gender or sexuality, and cultural or ethnic identities. The presentation of Aguilar’s retrospective at the Vincent Price Art Museum is particularly fitting, since she is an alumna of the East Los Angeles College, where she studied photography.",Definitions of Identity," Film & Video, Mixed Media, Photography ",Free,"September 16, 2017 - February 10, 2018 ",9/16/2017,2/10/2018,Vincent Price Art Museum,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Laura-Aguilar-Show-and-Tell"">Link to PST Site</a>","1301 Avenida Cesar Chavez
Monterey Park, CA ",34.040723,-118.150908,"34.040723, -118.150908"
Below the Underground: Renegade Art and Action in 1990s Mexico ,"The art of the 1990s in Mexico has acquired an almost mythic status in recent years, coming to represent the moment that Mexican contemporary art assumed a place in the global arena. Below the Underground: Renegade Art and Action in 1990s Mexico will add a new layer to the growing interest in this period by drawing attention to artists, such as Taniel Morales, Andrea Ferreyra, and Elvira Santamaría, who operated in the margins, away from the widening mainstream. The exhibition explores the alternative, often clandestine art practices that emerged during this period marked by increasing violence, currency devaluation, industrial pollution, and political corruption. Against this turbulent backdrop, artists in Mexico City, Guadalajara, Monterrey, and elsewhere devised alternative practices and new exhibition spaces to show work that often directly engaged the politics and economics of the moment.",Art and Activism,,Free,"October 15, 2017 - January 21, 2018 ",10/15/2017,1/21/2018,Armory Center for the Arts,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Renegade-Art-and-Action-in-Mexico-1990s"">Link to PST Site</a>","145 North Raymond Avenue
Pasadena , CA ",34.1483721,-118.1493752,"34.1483721, -118.1493752"
Winds from Fusang: Mexico and China in the Twentieth Century ,"

This exhibition explores the unexamined influence of Mexican art and artists on the development of art in China, offering a greater understanding of ties between trans-Pacific creative communities.

Winds from Fusang: Cultural Dialogues between Mexican and Chinese Artists will be the first major exhibition to explore the influence of 20th-century Latin American art and artists on contemporary Chinese art. While it is generally believed that only after the “opening” of China in the 1980s did the West begin to play a significant role in shaping contemporary Chinese art, there were, in fact, other Western influences prior to the Cultural Revolution, especially at mid- century, when China was supposedly closed to the outside world. Using works from public and private collections in the U.S., China, and Latin America, Crossing Pacific will demonstrate how themes, techniques, and specific artists from Mexico and other Latin American countries who visited China—including José Venturelli, Miguel Covarrubias, and David Alfaro Siqueiros--had an outsized influence on the burgeoning Chinese contemporary art community.
","Borders, Diaspora & Displacement"," Film & Video, Installation, Mixed Media, Murals, Painting, Photography, Prints & Drawing ",Ticketed,"December 08, 2017 - June 10, 2018 ",12/8/2017,6/10/2018,USC Pacific Asia Museum,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Winds-from-Fusang-Cultural-Dialogues"">Link to PST Site</a>","46 N. Los Robles Avenue
Pasadena, CA ",34.1467484,-118.1410261,"34.1467484, -118.1410261"
David Lamelas: A Life of Their Own,"Argentine-born David Lamela was a pioneer of conceptual art. This monographic exhibition encompasses post-minimalist sculpture, photography, video installations, and films.

The University Art Museum (UAM) will organize the first monographic exhibition in the U.S. on the Argentine-born artist David Lamelas. Best known as a pioneer of conceptual art, Lamelas gained international acclaim for his work in the 1968 Venice Biennale, Office of Information about the Vietnam War at Three Levels . After moving to Los Angeles in 1976, Lamelas participated in the Long Beach Museum’s influential video arts program, and his ongoing conceptual practice influenced an emerging circle of L.A. artists. Since 1988, Lamelas has divided his time among various cities, including Los Angeles, New York, Brussels, Berlin, and Paris, and the nomadic nature of his practice has been an important influence on his creative production. The UAM exhibition will showcase the extraordinary breadth of his practice—encompassing post-minimalist sculpture, photography, and video installations and films--presenting many of his key works in the U.S. for the first time.",From Abstract to Conceptual Art,"Film & Video, Installation, Mixed Media, Performance, Photography, Sculpture",Free,"September 17, 2017 - December 10, 2017",9/17/2017,12/10/2017,"University Art Museum, CSU Long Beach ","<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/david-lamelas-a-life-of-their-own"">Link to PST Site</a>","1250 Bellflower Boulevard 
Long Beach, CA",33.7826983,-118.1223044,"33.7826983, -118.1223044"
"Visual Voyages: Images of Latin American Nature from Columbus to Darwin

","

This exhibit seeks new understandings of Latin American nature through connections between art, science, and the environment from the voyages of Columbus to the publications of Charles Darwin.

Visual Voyages: Images of Latin American Nature from Columbus to Darwin surveys the connections among art, science, and the environment in Latin America, from the voyages of Columbus to the publications of Charles Darwin in the mid-19th century. The exhibition will introduce audiences to new understandings of Latin American nature from a range of cultural perspectives: as a wondrous earthly paradise; as a new source of profitable commodities such as chocolate, tobacco, and cochineal; as a landscape of good and evil, as viewed through the filter of religion; as the site for an Enlightenment project of collecting and classifying; and, in the 19th century, as the reflection of a national spirit. Visual Voyages features approximately 100 objects that are drawn from the Huntington’s library, art, and botanical holdings, as well as from dozens of international collections, in a range of media including paintings, rare books, illustrated manuscripts, prints, and drawings. Importantly, the exhibition and its catalogue will bring together indigenous and European depictions of Latin American nature and offer a strongly documented case for Latin America’s own active participation in the production of excellent and influential scientific and artistic works during the early modern period.
",Pre-Hispanic to Colonial," Painting, Prints & Drawing ",Ticketed,"September 16, 2017 - January 08, 2018 ",9/16/2017,1/8/2018,"The Huntington Library, Art Collections, and Botanical Gardens
","<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Latin-American-Nature-Columbus-to-Darwin"">Link to PST Site</a>","1151 Oxford Road
San Marino, CA ",34.1278618,-118.1094516,"34.1278618, -118.1094516"
Deconstructing Liberty: A Destiny Manifested ,"Through performance, installation, video, and photography, the artists in this exhibition question ideas traditionally associated with American liberty as they resonate in forms of collective identity across the globe.",Critiquing Globalism and Modernism,"Film & Video, Installation, Mixed Media, Painting, Performance, Photography, Sculpture",Ticketed,"August 05, 2017 - October 15, 2017",8/5/2017,10/15/2017,Muzeo Museum and Cultural Center,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Deconstructing-Liberty"">Link to PST Site</a>","241 S. Anaheim Boulevard, Anaheim, CA
                            ",33.8335864,-117.9135951,"33.8335864, -117.9135951"
My Barrio: Emigdio Vasquez and Chicana/o Identity in Orange County ,"

An exhibition and app investigate Emigdio Vasquez’s prolific mural career and its contemporary context, celebrating the Chicano cultural movement through depictions of local communities alongside imagery from Mexican and American history.

In 2014, Chapman University partnered with the Orange Barrio Historical Society and local artist Higgy Vasquez to restore a 34-year-old mural, El Proletariado de Aztlán , on the exterior of a former apartment complex adjacent to the university. The mural was originally painted in 1979 by Higgy’s father, Emigdio Vasquez, a prolific artist who painted 22 public murals in Orange County between 1976 and 2006. Vasquez’ murals celebrated the Chicano cultural movement, depicting local people and places alongside imagery from Mexican and Mexican-American history. For Pacific Standard Time: LA/LA, Chapman’s curatorial team will launch the first comprehensive investigation of these local murals and the communities they identify. Satellite exhibitions on campus at the Guggenheim Gallery and the University Student Union will highlight the work of contemporary Chicana/o muralists and display historical artifacts and photos relating to Chicano murals in Orange County, and a downloadable app will enable users to view an interactive map of historic mural sites for a self-guided tour that provides information on each work, including those that have been destroyed.
",Definitions of Identity," Film & Video, Installation, Mixed Media, Murals, Painting, Photography, Prints & Drawing, Sculpture ",Free,"September 13, 2017 - January 05, 2018 ",9/13/2017,1/5/2018,Chapman University ,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Emigdio-Vasquez"">Link to PST Site</a>","1 University Drive
Orange, CA ",33.7928203,-117.8537167,"33.7928203, -117.8537167"
My Barrio: Emigdio Vasquez and Chicana/o Identity in Orange County,"

An exhibition and app investigate Emigdio Vasquez’s prolific mural career and its contemporary context, celebrating the Chicano cultural movement through depictions of local communities alongside imagery from Mexican and American history.

In 2014, Chapman University partnered with the Orange Barrio Historical Society and local artist Higgy Vasquez to restore a 34-year-old mural, El Proletariado de Aztlán , on the exterior of a former apartment complex adjacent to the university. The mural was originally painted in 1979 by Higgy’s father, Emigdio Vasquez, a prolific artist who painted 22 public murals in Orange County between 1976 and 2006. Vasquez’ murals celebrated the Chicano cultural movement, depicting local people and places alongside imagery from Mexican and Mexican-American history. For Pacific Standard Time: LA/LA, Chapman’s curatorial team will launch the first comprehensive investigation of these local murals and the communities they identify. Satellite exhibitions on campus at the Guggenheim Gallery and the University Student Union will highlight the work of contemporary Chicana/o muralists and display historical artifacts and photos relating to Chicano murals in Orange County, and a downloadable app will enable users to view an interactive map of historic mural sites for a self-guided tour that provides information on each work, including those that have been destroyed.
",Art and Activism," Film & Video, Installation, Mixed Media, Murals, Painting, Photography, Prints & Drawing, Sculpture ",Free,"September 13, 2017 - January 05, 2018 ",9/13/2017,1/5/2018,Chapman University,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Emigdio-Vasquez"">Link to PST Site</a>","1 University Drive Orange, CA",33.792553,-117.85339,"33.792553, -117.853390"
" Aztlán to Magulandia: The Journey of Chicano Artist Gilbert ""Magu"" Luján

","Luján is known for his colorful and visually complex explorations of Chicano culture and community, often resulting in pyramid-mounted low riders driven by anthropomorphic dogs through a mythologized LA

University Art Galleries, UC Irvine (UAG) will present the first survey of one of the most iconic figures of the Chicano Art Movement, Gilbert ""Magu"" Luján (1940–2011) and an accompanying publication. One of the founding members of the Chicano artists collective Los Four, Luján is known for his colorful and visually complex explorations of Chicano culture and community that drew upon and brought to life various historic and contemporary visual sources with startling results: Pyramid-mounted low riders driven by anthropomorphic dogs traversing a newly defined and mythologized L.A. He was part of a small group of dedicated artists and intellectuals who set about defining a Chicano identity and culture as part of the Civil Rights movement of the 1960s. The UAG’s retrospective will focus on creativity and invention in Luján's work in a myriad of sketches and drawings, paintings, and sculptures. Luján combined two world-making concepts, Aztlán, the mythic northern ancestral home of the indigenous Mexican Aztecs that became a charged symbol of Chicano activism; and Magulandia, the term Luján coined for the space in which he lived and produced his work, and for his work as a whole. Together, Aztlán and Magulandia represented both physical spaces and the complex cultural, geographic, and conceptual relationships that exist between Los Angeles and Mexico and served as dual landscapes for Luján’s artistic philosophy and cultural creativity.",Definitions of Identity," Mixed Media, Prints & Drawing, Sculpture ",Free,"October 07, 2017 - December 16, 2017 ",10/7/2017,12/16/2017,"University Art Galleries, UC Irvine","<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/The-Journey-of-Chicano-Artist-Gilbert"">Link to PST Site</a>","University of California, Irvine, 712 Arts Plaza
Irvine, CA ",33.649955,-117.844213,"33.649955, -117.844213"
"California Mexicana: Missions to Murals, 1820–1930 ","

This exhibit explores how Mexico became California and the role of visual arts in this transformation, creating distinct pictorial motifs and symbols that helped define the new California.

California Mexicana: Missions to Murals, 1820–1930 , explores how Mexico became California. Following the U.S.-Mexican War (1846–1848), lands that had belonged for centuries to New Spain, and later Mexico, were transformed into the 31st state of the U.S. The visual arts played a strong role in this transformation, creating distinct pictorial motifs and symbols that helped define the new California while establishing dialogues and intersections with the land’s previous identity as Mexico. Juxtaposing paintings with popular posters, prints, and some of the earliest movies made in Los Angeles, the exhibition reveals how this image of California spread worldwide. Objects range from picturesque landscapes of Alta California and still life paintings featuring fruits, flowers, and other plants that celebrated the state's agricultural growth, to works by early modernists such as the Mexican painters Diego Rivera and Frida Kahlo. California Mexicana: Missions to Murals, 1820–1930 , demonstrates how a unique amalgam of Mexican and Anglo visual traditions created a profile for California distinct from any other U.S. state.
",Pre-Hispanic to Colonial," Film & Video, Mixed Media, Murals, Painting, Photography, Prints & Drawing, Sculpture ",Ticketed,"October 15, 2017 - January 14, 2018 ",10/15/2017,1/14/2018, Laguna Art Museum ,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Mexico-LA-History-into-Art"">Link to PST Site</a>","307 Cliff Drive
Laguna Beach, CA ",33.543486,-117.7883284,"33.543486, -117.7883284"
Judithe Hernández and Patssi Valdez: One Path Two Journeys ,"

These artists have profoundly influenced the aesthetic voices of Latinas in the latter half of the 20th century, and for the first time will be shown together.

Within a culture, a socio-political movement and a profession dominated by men, artists Judithe Hernández and Patssi Valdez have each created bodies of works that profoundly influenced the aesthetic voices of Latinas in the latter half of the 20th century. The two artists took seemingly parallel paths from their childhoods in East L.A. to their coming-of-age during the Chicano Civil Rights Movement in the 1970s. Hernández was the fifth artist, and the only woman, invited to join the collective Los Four , and Valdez was a founding member, and the only woman, in the Asco group. Both went on to successful individual careers. In addition to displaying photographs and other materials to contextualize their participation in these important artist collectives, One Path Two Journeys will bring together for the first time their current works, including a new collaborative installation.
",Art and Activism," Mixed Media, Painting, Prints & Drawing ",Free,"September 01, 2017 - January 28, 2018 ",9/1/2017,1/28/2018,Millard Sheets Art Center,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Hernandez-Valdez-One-Path"">Link to PST Site</a>","1101 W McKinley Avenue
Pomona, CA ",34.0809612,-117.7651993,"34.0809612, -117.7651993"
Judithe Hernández and Patssi Valdez: One Path Two Journeys ,"

These artists have profoundly influenced the aesthetic voices of Latinas in the latter half of the 20th century, and for the first time will be shown together.

Within a culture, a socio-political movement and a profession dominated by men, artists Judithe Hernández and Patssi Valdez have each created bodies of works that profoundly influenced the aesthetic voices of Latinas in the latter half of the 20th century. The two artists took seemingly parallel paths from their childhoods in East L.A. to their coming-of-age during the Chicano Civil Rights Movement in the 1970s. Hernández was the fifth artist, and the only woman, invited to join the collective Los Four , and Valdez was a founding member, and the only woman, in the Asco group. Both went on to successful individual careers. In addition to displaying photographs and other materials to contextualize their participation in these important artist collectives, One Path Two Journeys will bring together for the first time their current works, including a new collaborative installation.
",Definitions of Identity," Mixed Media, Painting, Prints & Drawing ",Free,"September 01, 2017 - January 28, 2018 ",9/1/2017,1/28/2018,Millard Sheets Art Center,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Hernandez-Valdez-One-Path"">Link to PST Site</a>","1101 W McKinley Avenue
Pomona, CA ",34.080675,-117.765162,"34.080675, -117.765162"
"
Aztlán: A Sense of Place


","

This exhibit explores the roots of the Chicano/a art movement and the vast influences that Chicano/a culture has had on the southwestern United States and beyond.

For the past thirteen years, the dA Center for the Arts has presented Aztlán , an exploration of the roots of the Chicano/a art movement and the vast influences that Chicano/a culture has had on the southwestern United States and beyond. This annual exhibition began in 2003, curated by Frank Garcia in tandem with artist and activist Gilbert “Magu” Lujan, a member of Los Four, an East L.A. artist group that was one of the vanguards of the Chicano/a art movement. An unfolding observation of the transformation of real cultures in a mythological land, Aztlán has evolved from a focus on original Mesoamerican first nations to include people and cultures from around the world. Aztlán: A Sense of Place will connect imagination, tradition and technology through works by artists including Jimmy Centeno, Margaret Garcia, Frank Romero, Nancy Romero, David Botello and Wayne Healy, among others, to provoke an engaging dialogue between individuals, communities, and institutions.
",Definitions of Identity," Installation, Mixed Media, Painting, Performance, Prints & Drawing, Sculpture

",Free,"October 14, 2017 - January 28, 2018 ",10/14/2017,1/28/2018,dA Center for the Arts,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Aztl%C3%A1n-A-Sense-of-Place"">Link to PST Site</a>","252 Main Street
Pomona , CA",34.0572306,-117.7520277,"34.0572306, -117.7520277"
"Kukuli Velarde: Plunder Me, Baby


","

These personal and sometimes confrontational ceramic sculptures are based on traditional forms and surface decorations of Pre-Columbian ceramics but include the artist’s own image and reference her indigenous ancestry.

The American Museum of Ceramic Art (AMOCA) will present Kukuli Velarde: Plunder Me, Baby, the first West Coast exhibition by the U.S.-based Peruvian artist Kukuli Velarde, who was born in Cusco in 1962 and moved to the U.S. in 1988. The 15 ceramic sculptures in the exhibition evoke a childhood memory that has haunted Velarde, of hearing her 16-year-old nanny declare ""I don't speak Quechua"" (the language of the Inca) in an attempt to hide her indigenous roots. To challenge this racism, Velarde creates personal and sometimes confrontational ceramic sculptures which are based on the traditional forms and surface decorations of Pre-Columbian ceramics but include the artist’s own image and reference her indigenous ancestry. Kukuli Velarde: Plunder Me, Baby was previously presented at the Nerman Museum of Contemporary Art in Kansas City in 2013. This presentation at AMOCA reunites all of the ceramic sculptures from that exhibition and augments them with a selection of Pre-Columbian ceramic objects to illustrate Velarde’s source material.
",Definitions of Identity,Sculpture,Free,"September 16, 2017 - January 28, 2018 ",9/16/2017,1/28/2018,American Museum of Ceramic Art (AMOCA),"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Plunder%20Me%20Baby"">Link to PST Site</a>","399 N Garey Avenue
Pomona, CA ",34.0611548,-117.7507227,"34.0611548, -117.7507227"
Prometheus 2017: Four Artists from Mexico Revisit Orozco ,"Reexamining José Clemente Orozco's mural Prometheus, four contemporary artists from Mexico share Orozco's interest in the relationships between history, storytelling, and power, as they navigate their own 21st-century approach to political causes and personal mythologies.

In 1930, José Clemente Orozco completed his Prometheus fresco at Pomona College, the first mural painted in the United States by one of Los Tres Grandes of Mexican muralism. Drawing on the Greek myth of the Titan Prometheus bringing fire to humanity, Orozco's mural goes beyond the story's traditional symbolism to present a complex political work that questions the very idea of enlightenment in a modern world steeped in conflict. The exhibition Prometheus 2017: Four Artists from Mexico Revisit Orozco will reexamine Orozco's mural through the lens of four contemporary women artists from Mexico—Isa Carrillo, Adela Goldbard, Rita Ponce de León, and Naomi Rincón-Gallardo—who are producing a variety of socially-engaged artworks. These four contemporary Mexican artists share Orozco’s interest in the relationships among history, storytelling, and power, but navigate their own 21st-century approach to political causes and personal mythologies. In turn, these artists activate Orozco’s mural by reinvigorating Prometheus for a diverse, contemporary audience.",Art and Activism,,Free,"August 29, 2017 - December 16, 2017 ",8/29/2017,12/16/2017,Pomona College Museum of Art ,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Prometheus-Four-Artists-Revisit-Orozco"">Link to PST Site</a>","330 North College Avenue
Claremont, CA ",34.0971631,-117.7148143,"34.0971631, -117.7148143"
"Revolution and Ritual: The Photographs of Sara Castrejón, Graciela Iturbide, and Tatiana Parcero ","

These works from representative figures of three generations of Mexican photographers invite visitors to consider how photography has been transformed over the past one hundred years in Mexico.

Revolution and Ritual: The Photographs of Sara Castrejón, Graciela Iturbide, and Tatiana Parcero brings together works by representative figures of three generations of photographers in Mexico, their careers spanning 100 years. Castrejón, the least known of the three, was one of the few female photographers who documented the Mexican Revolution. Iturbide is known best for her photographs of the daily lives of Mexico's indigenous cultures, while Parcero, a contemporary photographer, splices images of her own body with cosmological maps and pre-Columbian Aztec codices. By bringing their work into conversation, Revolution and Ritual will invite visitors to consider how photography has been transformed over the past century in Mexico and how it continues to respond to artists’ interest in representing present and past, self and other. The exhibition draws on Scripps College’s academic strength in feminist and gender studies and the Ruth Chandler Williamson Gallery’s expanding photography collection, with its special emphasis on women who have shaped the photographic field.
",Definitions of Identity,Photography,Free,"August 26, 2017 - January 07, 2018 ",8/26/2017,1/7/2018,"Scripps College, Ruth Chandler Williamson Gallery ","<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Revolution-and-Ritual-Photographs-of-Sara-Castrejon"">Link to PST Site</a>","251 E. Eleventh Street
Claremont, CA ",34.1044893,-117.7119461,"34.1044893, -117.7119461"
Juan Downey: Radiant Nature,"The early works of artist Juan Downey—many not seen since their originally presentations, will be explored through interactive electronic sculptures, documentation of happenings and performances, and installation.

LACE and Pitzer College Art Galleries will mount a two-part exhibition on the early performance-based works of Juan Downey (1940-1993). Born in Chile, Downey moved to Paris in the 1960s and later settled in Washington, D.C., and then New York, where he developed a practice that included sculpture, performance, installation, and video. Although Downey has become known for his multi-channel video works such as Video Trans Americas (1973–1976) and The Thinking Eye (1976–1977), which critique Eurocentric perspectives regarding Latin American identity, Juan Downey: Radiant Nature will consider his earlier artistic practice. Comprising interactive electronic sculptures, happenings and performances, as well as installation, these earlier bodies of work will be explored for their progressive trans-disciplinary investigation of technology, energy, the environment, and politics. These experimental and ephemeral works have in many cases not been seen since their original presentations and will be reconstructed and restaged based on groundbreaking new research.",From Abstract to Conceptual Art,"Film & Video, Installation, Performance, Prints & Drawing",Free,"September 09, 2017 - December 08, 2017",9/9/2017,12/8/2017,Pitzer College Art Galleries ,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/juan-downey-radiant-nature-pitzer"">Link to PST Site</a>","1050 N. Mills Avenue 
Claremont, CA",34.1036159,-117.7038664,"34.1036159, -117.7038664"
UnDocumenta ,"

Artists from San Diego and Tijuana use technology, performance, and interactivity to address biculturalism, migration, labor issues, and human rights.

Subverting the title of one of the premier European art events, the Oceanside Museum of Art will present unDocumenta , an exhibition referencing the plight of undocumented people and highlighting the artistic production at the convergence of Latin America and Southern California. The San Diego/Tijuana region serves as a birthplace and rich experimental ground for individual artists and collectives such as the Border Arts Workshop and Las Comadres that have been concerned with topics related to biculturalism, migration, labor issues, and human rights. Grounded within that framework, unDocumenta will incorporate artworks by Mexican and Latino artists from both cities with a focus on the use of recent technology, performance, and interactivity. One such example is a work by Omar Pimienta, Free Citizenship , in which the artist sets up a Mobile Consulate at the museum, offering “citizenship” and a free passport to members of the audience in exchange for an old passport, allowing the viewer to think of the tenuous state of those who cross borders into the unknown. Other participating artists include Claudia Cano, Ana Teresa Fernandez, Dominic Paul Miller and Marcos Ramirez ERRE.
","Borders, Diaspora & Displacement",,Ticketed,"September 23, 2017 - January 28, 2018 ",9/23/2017,1/28/2018,Oceanside Museum of Art ,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/UnDocumenta"">Link to PST Site</a>","704 Pier View Way
Oceanside, CA ",33.1980908,-117.3786225,"33.1980908, -117.3786225"
Mundos Alternos: Art and Science Fiction in the Americas ,"Artists from across the Americas have tapped into science fiction’s capacity to imagine utopian and dystopian realities, leading to intersections between science fiction, techno-culture, and visual arts.",Critiquing Globalism and Modernism,"Film & Video, Installation, Mixed Media, Painting, Performance, Photography, Sculpture",Ticketed,"September 16, 2017 - February 04, 2018",9/16/2017,2/4/2018,UCR ARTSblock,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Mundos-Alternos-Art-and-Science-Fiction"">Link to PST Site</a>","3824 Main Street Riverside, CA",33.981438,-117.374333,"33.981438, -117.374333"
"Myth & Mirage: Inland Southern California, Birthplace of the Spanish Colonial Revival ","This exhibition provides a fresh view of Inland Southern California as the epicenter of Spanish Colonial Revival innovation and includes a critical examination of cultural whitewashing in the tourism industry.

The Spanish Colonial Revival has been part of the aesthetic fabric of Southern California for 100 years. While claiming ties to Colonial Spain and Mexico via their cultural and design traditions, the style was based largely on myth and invention. Influenced by such diverse sources as the 1915 Panama-California Exposition and the popular Ramona novel and pageants, Californian architects and designers adapted Spanish Colonial, Mission, ecclesiastical, and native elements to create romanticized perceptions of California for a burgeoning tourism industry. The Riverside Art Museum will present the first survey of the Spanish Colonial Revival style in the architecture and the decorative arts of the Inland Empire, where this style flourished. Landmarks such as Myron Hunt's First Congregational Church of Riverside (1912–1914) and the historic Mission Inn Hotel are spectacular amalgamations of the historic and the imagined. The exhibition will use architectural and archival materials, decorative arts, paintings, and photographs to explore the style's origins and continuing popularity.",Pre-Hispanic to Colonial," Architecture & Design, Photography, Prints & Drawing ",Ticketed,"September 23, 2017 - January 28, 2018 ",9/23/2017,1/28/2018,Riverside Art Museum,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Myth-and-Mirage"">Link to PST Site</a>","3425 Mission Inn Avenue
Riverside, CA ",33.9817847,-117.3704849,"33.9817847, -117.3704849"
"Xerografia: Copyart in Brazil, 1970–1990",": Copyart in Brazil, 1970–1990
University Galleries, University of San Diego
Paulo Bruscky, Fac-similarte , 1980. Xerograph on paper. Courtesy of the artist and Galeria Nara Roesler.
Scroll for more 
Artists in Brazil used innovative commercial copying practices across two politically fraught decades, using standard copy paper and unconventional materials such as metal, wood, and glass.

Xerografia: Copyart in Brazil, 1970-1990 will reveal the innovative uses of ordinary commercial copying practices by artists working in Brazil across two politically fraught decades. The exhibition will introduce Southern California audiences to this unfamiliar and often overlooked work, including not only the innumerable images made on standard copy paper but also works machine-printed on unconventional materials such as metal, wood, and glass. The low cost of production and unique formal qualities of photocopies, including imperfections that the machine introduced, initially attracted artists like Paulo Bruscky to the medium. Later on, artists including Hudinilson Jr. and Mário Ramiro performed actions in front of the photocopier, using it as a sort of camera. Eventually, this experimentation led to work in fax, videotext, and other forms of early new media. In essence, photocopy became a new artistic medium, offering exciting possibilities for performance, documentation, publishing, and even international exchange through mail art strategies.",From Abstract to Conceptual Art,"Film & Video, Mixed Media, Prints & Drawing",Free,"September 15, 2017 - December 16, 2017",9/15/2017,12/16/2017,"University Galleries, University of San Diego ","<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Copyart-in-Brazil-1970-to-1990s"">Link to PST Site</a>","5998 Alcala Park 
San Diego, CA",32.7740517,-117.185907,"32.7740517, -117.185907"
Memories of Underdevelopment ,"

This exhibition examines the ways in which Latin American artists from the 1960s to the 1980s responded to the unraveling of the utopian promise of modernization after World War II.

In collaboration with Museo Jumex in Mexico City and the Museo de Arte de Lima, MCASD will present an exhibition examining the ways in which Latin American artists from the 1960s to the 1980s responded to the unraveling of the utopian promise of modernization after World War II, most notably in Argentina, Brazil, Mexico, and Venezuela. In the immediate postwar period, artists had eagerly embraced the “transition to modernity,” creating a new abstract geometric language meant to capture its idealistic possibilities. As modernization failed, and political oppression and brutal military dictatorships followed, avant-garde artists increasingly abandoned abstraction and sought new ways to connect with the public, engaging directly with communities and often incorporating popular strategies from film, theater, and architecture into their work. Memories of Underdevelopment will be the first significant survey exhibition of these crucial decades and will highlight the work not only of well-known artists such as Hélio Oiticica and Lygia Pape but also lesser-known artists from Colombia, Peru, Chile, and Uruguay.
",Art and Activism,,Ticketed,"September 17, 2017 - January 07, 2018 ",9/17/2017,1/7/2018,Museum of Contemporary Art San Diego,"<a href=""http://www.pacificstandardtime.org/en/exhibitions/exhibit/view/Memories-of-Underdevelopment"">Link to PST Site</a>","1100 Kettner Boulevard
San Diego, CA ",32.7170879,-117.1694871,"32.7170879, -117.1694871"
